Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,7.7,24,3.13,16,3,2,2,1,0,5,0.65,4,0,0,1,0,0
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,8.8,11,1.24,8,0,2,1,0,0,0,0.00,0,0,0,0,0,0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,28.8,30,1.04,25,1,0,0,1,3,2,0.07,2,0,0,0,0,0
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,33.0,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,12.6,23,1.83,12,2,0,3,5,1,2,0.16,1,0,0,0,1,0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,27.8,102,3.67,74,3,9,9,4,3,6,0.22,5,0,0,1,0,0
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,12.0,35,2.91,20,7,2,0,6,0,6,0.50,4,1,0,0,1,0
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,23.3,16,0.69,13,1,1,0,0,1,0,0.00,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,29.6,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1
