Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Eddy Gnahoré,FRA,MF,Amiens,Ligue 1,25,1993,12.6,874,42,204,581,144,11,844,6,7,85.7,6,0,622,3111,1414,66,16,1,13,27,635,585,92.1,26
Ben Godfrey,ENG,DF,Norwich City,Premier League,21,1998,29.4,1907,392,1249,721,68,11,1861,7,14,50.0,7,0,1247,7446,3745,73,15,1,4,7,1324,1305,98.6,7
Diego Godín,URU,DF,Inter,Serie A,33,1986,18.1,1286,150,586,692,113,14,1254,12,13,92.3,13,0,887,5955,3699,132,31,1,8,5,914,893,97.7,6
Akaki Gogia,GER,MF,Union Berlin,Bundesliga,27,1992,1.3,67,1,10,28,33,3,63,6,9,66.7,6,0,50,145,92,6,2,1,5,3,71,45,63.4,8
Mauro Goicoechea,URU,GK,Toulouse,Ligue 1,31,1988,2.0,72,65,72,0,0,0,46,0,0,,0,0,29,129,71,0,0,0,0,0,23,23,100.0,0
Edoardo Goldaniga,ITA,DF,Genoa,Serie A,25,1993,8.7,511,75,259,244,42,7,478,1,1,100.0,1,0,302,1985,1154,35,8,0,2,4,317,299,94.3,6
Benjamin Goller,GER,FW,Werder Bremen,Bundesliga,20,1999,3.2,138,1,22,58,69,13,134,13,24,54.2,15,2,117,469,285,17,5,3,7,13,135,94,69.6,24
Pierluigi Gollini,ITA,GK,Atalanta,Serie A,24,1995,32.0,1037,903,1035,2,0,0,766,0,0,,0,0,511,2757,1423,0,0,0,0,0,416,414,99.5,0
Aleksandr Golovin,RUS,MF,Monaco,Ligue 1,23,1996,22.9,1410,33,206,799,570,59,1286,54,76,71.1,56,1,1018,7298,4035,185,77,18,33,22,1067,922,86.4,121
André Gomes,POR,MF,Everton,Premier League,26,1993,16.2,989,33,235,664,156,10,965,26,35,74.3,26,2,758,3476,1566,49,17,0,15,25,763,710,93.1,26
