Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Diego Benaglio,SUI,GK,Monaco,Ligue 1,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,3,150.0,0,0,0,0,
Walter Benítez,ARG,GK,Nice,Ligue 1,24,1993,28,28,2520,28.0,36,1.29,114,83,71.1,12,8,8,7,25.0,5,3,2,0,40.0
Etrit Berisha,ALB,GK,Atalanta,Serie A,28,1989,31,31,2790,31.0,34,1.10,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50.0
Quentin Beunardeau,FRA,GK,Metz,Ligue 1,23,1994,1,0,38,0.4,2,4.74,4,2,50.0,0,0,0,0,,0,0,0,0,
Albano Bizzarri,ARG,GK,Udinese,Serie A,39,1977,32,32,2880,32.0,52,1.62,137,91,63.5,11,4,17,8,25.0,5,2,2,1,50.0
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,22,1995,22,22,1941,21.6,31,1.44,86,58,67.4,10,4,8,4,18.2,4,3,0,1,0.0
Landry Bonnefoi,FRA,GK,Strasbourg,Ligue 1,33,1983,4,3,271,3.0,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,
Jean-Christophe Bouet,FRA,GK,Amiens,Ligue 1,34,1983,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,
Yassine Bounou,MAR,GK,Girona,La Liga,26,1991,30,30,2655,29.5,46,1.56,135,94,68.9,13,6,11,9,30.0,5,4,0,1,0.0
Claudio Bravo,CHI,GK,Manchester City,Premier League,34,1983,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,1,50.0,0,0,0,0,
Alberto Brignoli,ITA,GK,Benevento,Serie A,25,1991,13,11,1126,12.5,31,2.48,71,42,59.2,1,2,10,2,18.2,4,2,0,2,0.0
Gianluigi Buffon,ITA,GK,Juventus,Serie A,39,1978,21,21,1862,20.7,14,0.68,58,48,81.0,17,2,2,11,52.4,4,3,1,0,25.0
Roman Bürki,SUI,GK,Dortmund,Bundesliga,26,1990,33,33,2969,33.0,43,1.30,140,100,70.7,15,9,9,12,36.4,2,2,0,0,0.0
Ludovic Butelle,FRA,GK,Angers,Ligue 1,34,1983,19,19,1653,18.4,22,1.20,70,52,72.9,6,5,8,4,21.1,3,3,0,0,0.0
Jack Butland,ENG,GK,Stoke City,Premier League,24,1993,35,35,3150,35.0,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0.0
Willy Caballero,ARG,GK,Chelsea,Premier League,35,1981,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,
Yoan Cardinale,FRA,GK,Nice,Ligue 1,23,1994,10,10,900,10.0,16,1.60,43,28,62.8,3,1,6,3,30.0,0,0,0,0,
Kiko Casilla,ESP,GK,Real Madrid,La Liga,30,1986,10,10,900,10.0,11,1.10,30,20,63.3,6,2,2,3,30.0,0,0,0,0,
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,25,1992,34,34,3060,34.0,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3
Petr Čech,CZE,GK,Arsenal,Premier League,35,1982,34,34,3039,33.8,48,1.42,129,84,66.7,16,6,12,11,32.4,6,5,1,0,16.7
Nereo Champagne,ARG,GK,Leganés,La Liga,32,1985,2,2,180,2.0,6,3.00,9,4,44.4,0,0,2,0,0.0,1,1,0,0,0.0
Leandro Chichizola,ARG,GK,Las Palmas,La Liga,27,1990,27,27,2430,27.0,47,1.74,150,107,70.7,4,5,18,4,14.8,3,3,0,0,0.0
Jasper Cillessen,NED,GK,Barcelona,La Liga,28,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
Andrea Consigli,ITA,GK,Sassuolo,Serie A,30,1987,37,37,3316,36.8,58,1.57,172,117,67.4,11,10,16,10,27.0,3,2,1,0,33.3
Alex Cordaz,ITA,GK,Crotone,Serie A,34,1983,38,38,3420,38.0,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,33,1983,4,4,360,4.0,5,1.25,16,12,75.0,1,0,3,1,25.0,1,1,0,0,0.0
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,30,1987,36,36,3240,36.0,45,1.25,119,79,65.5,16,7,13,10,27.8,9,4,4,1,50.0
Thibaut Courtois,BEL,GK,Chelsea,Premier League,25,1992,35,35,3150,35.0,34,0.97,104,73,69.2,20,6,9,15,42.9,2,2,0,0,0.0
Alessio Cragno,ITA,GK,Cagliari,Serie A,23,1994,29,29,2536,28.2,47,1.67,121,80,66.1,7,4,17,7,24.1,10,6,2,2,25.0
Luca Crosta,ITA,GK,Cagliari,Serie A,19,1998,1,1,90,1.0,3,3.00,2,0,0.0,0,0,1,0,0.0,1,1,0,0,0.0
Iván Cuéllar,ESP,GK,Leganés,La Liga,33,1984,35,35,3150,35.0,43,1.23,140,101,72.9,11,7,17,14,40.0,6,5,1,0,16.7
Karl Darlow,ENG,GK,Newcastle Utd,Premier League,26,1990,10,10,900,10.0,15,1.50,44,33,72.7,1,5,4,2,20.0,3,3,0,0,0.0
Abdoulaye Diallo,SEN,GK,Rennes,Ligue 1,25,1992,3,3,270,3.0,5,1.67,16,12,75.0,0,2,1,0,0.0,1,1,0,0,0.0
Thomas Didillon,FRA,GK,Metz,Ligue 1,21,1995,9,9,810,9.0,14,1.56,36,26,69.4,1,1,7,2,22.2,3,3,0,0,0.0
Marko Dmitrović,SRB,GK,Eibar,La Liga,25,1992,36,36,3240,36.0,49,1.36,124,81,63.7,13,8,15,10,27.8,4,4,0,0,0.0
Jaume Doménech,ESP,GK,Valencia,La Liga,26,1990,5,5,450,5.0,5,1.00,21,16,76.2,4,0,1,2,40.0,0,0,0,0,
Gianluigi Donnarumma,ITA,GK,Milan,Serie A,18,1999,38,38,3420,38.0,42,1.11,131,92,69.5,18,10,10,12,31.6,3,2,0,1,0.0
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,19,1997,3,1,217,2.4,8,3.32,18,10,55.6,0,0,2,0,0.0,0,0,0,0,
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,28,1989,12,12,1080,12.0,11,0.92,37,26,70.3,6,1,5,4,33.3,1,0,1,0,100.0
Maxime Dupé,FRA,GK,Nantes,Ligue 1,24,1993,1,1,90,1.0,3,3.00,4,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0
Ederson,BRA,GK,Manchester City,Premier League,23,1993,36,36,3194,35.5,26,0.73,77,52,66.2,30,4,2,16,44.4,3,0,2,1,100.0
Rob Elliot,IRL,GK,Newcastle Utd,Premier League,31,1986,16,16,1440,16.0,21,1.31,64,45,68.8,5,2,9,3,18.8,2,1,1,0,50.0
Michael Esser,GER,GK,Hannover 96,Bundesliga,29,1987,3,3,270,3.0,9,3.00,21,12,57.1,1,0,2,0,0.0,1,0,0,1,
Łukasz Fabiański,POL,GK,Swansea City,Premier League,32,1985,38,38,3420,38.0,56,1.47,182,129,70.9,8,9,21,9,23.7,7,3,3,1,50.0
Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,28,1988,34,34,3015,33.5,37,1.10,121,87,71.9,18,9,7,12,35.3,6,3,2,1,40.0
Andrés Fernández,ESP,GK,Villarreal,La Liga,30,1986,3,3,225,2.5,6,2.40,15,10,66.7,0,1,2,0,0.0,1,1,0,0,0.0
Raúl Fernández,ESP,GK,Levante,La Liga,29,1988,11,11,990,11.0,15,1.36,52,37,71.2,2,6,3,3,27.3,0,0,0,0,
Fraser Forster,ENG,GK,Southampton,Premier League,29,1988,20,20,1800,20.0,30,1.50,98,67,69.4,4,7,9,4,20.0,1,0,1,0,100.0
Ben Foster,ENG,GK,West Brom,Premier League,34,1983,37,37,3330,37.0,55,1.49,152,98,64.5,6,12,19,10,27.0,1,1,0,0,0.0
Paulo Gazzaniga,ARG,GK,Tottenham,Premier League,25,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
David de Gea,ESP,GK,Manchester Utd,Premier League,26,1990,37,37,3330,37.0,28,0.76,139,113,80.6,24,6,7,18,48.6,1,1,0,0,0.0
Rafał Gikiewicz,POL,GK,Freiburg,Bundesliga,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,1,1,0,0,0.0,0,0,0,0,
Dani Giménez,ESP,GK,Betis,La Liga,34,1983,4,4,309,3.4,0,0.00,7,7,100.0,3,1,0,4,100.0,0,0,0,0,
Pierluigi Gollini,ITA,GK,Atalanta,Serie A,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,
Heurelho Gomes,BRA,GK,Watford,Premier League,36,1981,24,24,2128,23.6,40,1.69,97,60,61.9,7,5,12,5,20.8,3,3,0,0,0.0
Alfred Gomis,SEN,GK,SPAL,Serie A,23,1993,26,25,2261,25.1,43,1.71,136,99,72.8,6,7,12,3,12.0,7,6,1,0,14.3
Mathieu Gorgelin,FRA,GK,Lyon,Ligue 1,26,1990,4,4,360,4.0,6,1.50,12,6,50.0,2,1,1,1,25.0,0,0,0,0,
Lee Grant,ENG,GK,Stoke City,Premier League,34,1983,3,3,270,3.0,7,2.33,14,7,50.0,0,1,2,1,33.3,0,0,0,0,
Vicente Guaita,ESP,GK,Getafe,La Liga,30,1987,33,33,2970,33.0,26,0.79,111,85,77.5,13,9,11,12,36.4,3,1,1,1,50.0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,27,1990,33,33,2970,33.0,52,1.58,143,95,67.1,15,8,10,6,18.2,5,5,0,0,0.0
Régis Gurtner,FRA,GK,Amiens,Ligue 1,30,1986,37,37,3330,37.0,41,1.11,178,141,79.2,12,9,16,11,29.7,4,4,0,0,0.0
