,Country,League,FIFA,ISO,latitude,longitude,Count
236,Paraguay,Serie A,PAR,PRY,-23.442503,-58.443832,2
237,Peru,La Liga,PER,PER,-9.189967,-75.015152,2
238,Peru,Ligue 1,PER,PER,-9.189967,-75.015152,1
239,Philippines,Bundesliga,PHI,PHL,12.879721,121.774017,1
240,Poland,Bundesliga,POL,POL,51.919438,19.145136,7
241,Poland,Ligue 1,POL,POL,51.919438,19.145136,4
242,Poland,Premier League,POL,POL,51.919438,19.145136,6
243,Poland,Serie A,POL,POL,51.919438,19.145136,17
244,Portugal,Bundesliga,POR,PRT,39.399872,-8.224454,5
245,Portugal,La Liga,POR,PRT,39.399872,-8.224454,10
246,Portugal,Ligue 1,POR,PRT,39.399872,-8.224454,14
247,Portugal,Premier League,POR,PRT,39.399872,-8.224454,21
248,Portugal,Serie A,POR,PRT,39.399872,-8.224454,8
249,Reunion,Ligue 1,REU,REU,-21.115141,55.536384,1
250,Romania,La Liga,ROU,ROU,45.943161,24.96676,2
251,Romania,Serie A,ROU,ROU,45.943161,24.96676,9
252,South Africa,Ligue 1,RSA,ZAF,-30.559482,22.937506,2
253,Russian Federation,Bundesliga,RUS,RUS,61.52401,105.318756,1
254,Russian Federation,La Liga,RUS,RUS,61.52401,105.318756,2
255,Russian Federation,Ligue 1,RUS,RUS,61.52401,105.318756,1
256,Russian Federation,Serie A,RUS,RUS,61.52401,105.318756,2
257,Scotland,Ligue 1,SCO,GB-SCT,57.092069,-4.747962,1
258,Scotland,Premier League,SCO,GB-SCT,57.092069,-4.747962,16
259,Scotland,Serie A,SCO,GB-SCT,57.092069,-4.747962,2
260,Senegal,Bundesliga,SEN,SEN,14.497401,-14.452362,1
261,Senegal,La Liga,SEN,SEN,14.497401,-14.452362,8
262,Senegal,Ligue 1,SEN,SEN,14.497401,-14.452362,27
263,Senegal,Premier League,SEN,SEN,14.497401,-14.452362,5
264,Senegal,Serie A,SEN,SEN,14.497401,-14.452362,6
265,Sierra Leone,Serie A,SLE,SLE,8.460555,-11.779889,1
266,Serbia,Bundesliga,SRB,SRB,44.016521,21.005859,4
267,Serbia,La Liga,SRB,SRB,44.016521,21.005859,11
268,Serbia,Ligue 1,SRB,SRB,44.016521,21.005859,4
269,Serbia,Premier League,SRB,SRB,44.016521,21.005859,2
270,Serbia,Serie A,SRB,SRB,44.016521,21.005859,16
